family,variant,dma,channel,request_id,request,request_en,note,#,confidence,basis
CH32H417,,,,24,TIM4_UP,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,25,TIM4_TRIG,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,26,TIM5_CH1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,27,TIM5_CH2,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,28,TIM5_CH3,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,29,TIM5_CH4,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,30,TIM5_UP,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,31,TIM5_TRIG,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,32,TIM8_CH1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,33,TIM8_CH2,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,34,TIM8_CH3,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,35,TIM8_CH4,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,36,TIM8_UP,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,37,TIM8_COM,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,38,TIM8_TRIG,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,39,TIM9_CH1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,40,TIM9_CH2,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,41,TIM9_CH3,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,42,TIM9_CH4,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,43,TIM9_UP,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,44,TIM9_TRIG,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,45,TIM10_CH1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,46,TIM10_CH2,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,47,TIM10_CH3,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,48,TIM10_CH4,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,49,TIM10_UP,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,50,TIM10_TRIG,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,51,TIM11_CH1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,52,TIM11_CH2,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,53,TIM11_CH3,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,54,TIM11_CH4,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,55,TIM11_UP,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,56,TIM11_TRIG,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,57,TIM12_CH1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,58,TIM12_CH2,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,59,TIM12_CH3,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,60,TIM12_CH4,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,61,TIM12_UP,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,62,TIM12_TRIG,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,63,SPI1_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,64,SPI1_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,65,SPI2_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,66,SPI2_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,67,SPI3_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,68,SPI3_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,69,SPI4_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,70,SPI4_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,71,QSPI1_DMA,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,72,QSPI2_DMA,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,73,I2C1_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,74,I2C1_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,75,I2C2_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,76,I2C2_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,77,I2C3_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,78,I2C3_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,79,I2C4_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,80,I2C4_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,81,I3C_RS,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,82,I3C_TC,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,83,I3C_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,84,I3X_RX,,as printed; RM typo for I3C_RX,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,85,USART1_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,86,USART1_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,87,USART2_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,88,USART2_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,89,USART3_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,90,USART3_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,91,USART4_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,92,USART4_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,93,USART5_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,94,USART5_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,95,USART6_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,96,USART6_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,97,USART7_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,98,USART7_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,99,USART8_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,100,USART8_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,101,SWPMI_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,102,SWPMI_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,103,DAC1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,104,DAC2,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,107,DFSDM_DMA0,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,108,DFSDM_DMA1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,111,SDIO,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,112,SAI_A_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,113,SAI_A_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,114,SAI_B_TX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,115,SAI_B_RX,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,120,ADC1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,121,ADC2,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,122,TIM6_UP,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,123,TIM7_UP,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32L103,,DMA1,1,,ADC,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.120)
CH32L103,,DMA1,1,,TIM2_CH3,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,1,,TIM4_CH1,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,1,,USART4_TX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,2,,SPI1_RX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.120)
CH32L103,,DMA1,2,,TIM1_CH1,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,2,,TIM2_UP,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,2,,TIM3_CH3,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,2,,USART3_TX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,3,,SPI1_TX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.120)
CH32L103,,DMA1,3,,TIM1_CH2,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,3,,TIM3_CH4,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,3,,TIM3_UP,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,3,,USART3_RX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,4,,I2C2_TX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,4,,SPI2_RX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.120)
CH32L103,,DMA1,4,,TIM1_CH4,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,4,,TIM1_COM,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,4,,TIM1_TRIG,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,4,,TIM4_CH2,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,4,,USART1_TX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.120)
CH32L103,,DMA1,5,,I2C2_RX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,5,,SPI2_TX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.120)
CH32L103,,DMA1,5,,TIM1_UP,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,5,,TIM2_CH1,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,5,,TIM4_CH3,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,5,,USART1_RX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.120)
CH32L103,,DMA1,6,,I2C1_TX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,6,,TIM1_CH3,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,6,,TIM3_CH1,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,6,,TIM3_TRIG,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,6,,USART2_RX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,7,,I2C1_RX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,7,,TIM2_CH2,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,7,,TIM4_UP,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,7,,USART2_TX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,8,,TIM2_CH4,,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,8,,USART4_RX,,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.121)
CH32M030,,DMA1,1,,ADC,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,1,,TIM1_CH1,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,1,,TIM3_CH1,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.75)
CH32M030,,DMA1,2,,SPI1_RX,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,2,,TIM1_CH2,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,2,,TIM2_TRIG,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.75)
CH32M030,,DMA1,2,,TIM3_CH2,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.75)
CH32M030,,DMA1,3,,SPI1_TX,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,3,,TIM1_CH3,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,3,,TIM2_UP,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.75)
CH32M030,,DMA1,3,,TIM3_UP,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.75)
CH32M030,,DMA1,4,,I2C1_TX,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,4,,TIM1_CH4,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,4,,TIM1_COM,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.75)
CH32M030,,DMA1,4,,TIM2_CH4,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.75)
CH32M030,,DMA1,4,,TIM3_TRIG,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.75)
CH32M030,,DMA1,5,,I2C1_RX,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,5,,TIM1_CH5,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,5,,TIM2_CH3,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.75)
CH32M030,,DMA1,6,,TIM1_UP,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,6,,TIM2_CH2,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.75)
CH32M030,,DMA1,6,,UART1_TX,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,7,,TIM1_TRIG,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32M030,,DMA1,7,,TIM2_CH1,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.75)
CH32M030,,DMA1,7,,UART1_RX,,,#,confirmed,rm:zh(CH32M030RM.PDF p.66)+rm:en(CH32M030RM.PDF p.74)
CH32V003,,DMA1,1,,ADC1,,,#,confirmed,rm:zh(CH32V003RM.PDF p.67)+rm:en(CH32V003RM.PDF p.65)
CH32V003,,DMA1,1,,TIM2_CH3,,,#,confirmed,rm:zh(CH32V003RM.PDF p.67)+rm:en(CH32V003RM.PDF p.65)
CH32V003,,DMA1,2,,SPI1_RX,,,#,confirmed,rm:zh(CH32V003RM.PDF p.67)+rm:en(CH32V003RM.PDF p.65)
CH32V003,,DMA1,2,,TIM1_CH1,,,#,confirmed,rm:zh(CH32V003RM.PDF p.67)+rm:en(CH32V003RM.PDF p.65)
CH32V003,,DMA1,2,,TIM2_UP,,,#,confirmed,rm:zh(CH32V003RM.PDF p.67)+rm:en(CH32V003RM.PDF p.65)
CH32V003,,DMA1,3,,SPI1_TX,,,#,confirmed,rm:zh(CH32V003RM.PDF p.67)+rm:en(CH32V003RM.PDF p.65)
CH32V003,,DMA1,3,,TIM1_CH2,,,#,confirmed,rm:zh(CH32V003RM.PDF p.67)+rm:en(CH32V003RM.PDF p.65)
CH32V003,,DMA1,4,,TIM1_CH4,,,#,confirmed,rm:zh(CH32V003RM.PDF p.67)+rm:en(CH32V003RM.PDF p.65)
CH32V003,,DMA1,4,,TIM1_COM,,,#,confirmed,rm:zh(CH32V003RM.PDF p.67)+rm:en(CH32V003RM.PDF p.65)
CH32V003,,DMA1,4,,TIM1_TRIG,,,#,confirmed,rm:zh(CH32V003RM.PDF p.67)+rm:en(CH32V003RM.PDF p.65)
CH32V003,,DMA1,4,,USART1_TX,,,#,confirmed,rm:zh(CH32V003RM.PDF p.67)+rm:en(CH32V003RM.PDF p.65)
CH32V003,,DMA1,5,,TIM1_UP,,,#,confirmed,rm:zh(CH32V003RM.PDF p.67)+rm:en(CH32V003RM.PDF p.65)
