package,pin_count,body_size,pin_pitch,product_count,families,#,pin_count_confidence,body_size_confidence,pin_pitch_confidence,pin_count_basis,body_size_basis,pin_pitch_basis
QFN60X6,60,6*6mm,0.35mm,2,CH32H417,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN68,68,8*8mm,0.4mm,6,CH32H417;CH32V20x;CH32V307;CH32V407,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN68X7,68,7*7mm,0.35mm,1,CH32X315,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN76,76,9*9mm,0.4mm,1,CH32X315,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN88,88,10*10mm,0.4mm,1,CH32H417,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QSOP24,24,3.9*8.7mm,0.635mm,6,CH32V006,#,reference,confirmed,confirmed,rule:package-name+?pin-table,ordering:zh+ordering:en,ordering:zh+ordering:en
QSOP28,28,3.9*9.9mm,0.635mm,6,CH32L103;CH32M030;CH32V006;CH32V20x;CH32X035,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+?pin-table,ordering:zh+ordering:en,ordering:zh+ordering:en
SOP16,16,3.9*10.0mm,1.27mm,2,CH32V003;CH32V006,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en,ordering:zh+ordering:en
SOP8,8,3.9*5.0mm,1.27mm,2,CH32V003;CH32V006,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en,ordering:zh+ordering:en
TSSOP20,20,4.4*6.5mm,0.65mm,11,CH32L103;CH32V003;CH32V006;CH32V20x;CH32V307;CH32X035,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en,ordering:zh+ordering:en
