series,family,core,isa,flash_bytes,sram_bytes,gpio_count,temperature,packages,part_number_count,datasheets,product_url_zh,product_url_en,#,core_confidence,isa_confidence,flash_bytes_confidence,sram_bytes_confidence,gpio_count_confidence,temperature_confidence,core_basis,isa_basis
CH32V006,CH32V006,QingKe V2C,RV32EmC,,,,,"QFN12,QFN20,QFN32,QSOP24,TSSOP20",7,CH32V006DS0.PDF,https://www.wch.cn/products/CH32V006.html,https://www.wch-ic.com/products/CH32V006.html,#,confirmed,confirmed,varies-by-package,varies-by-package,varies-by-package,varies-by-package,manual:ds(V006DS0)-features:zh+memorymap:zh,manual:ds-features:zh+en
CH32V007,CH32V006,QingKe V2C,RV32EmC,63488,8192,,,"QFN32,QSOP24",4,CH32V007DS0.PDF,https://www.wch.cn/products/CH32V007.html,https://www.wch-ic.com/products/CH32V007.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,varies-by-package,manual:ds(V007DS0)-features:zh,manual:ds-features:zh+en
CH32V103,CH32V103,QingKe V3A,RV32IMAC,,,,-40..85C,"LQFP48,LQFP64M,QFN48X7",4,CH32V103DS0.PDF,https://www.wch.cn/products/CH32V103.html,https://www.wch-ic.com/products/CH32V103.html,#,confirmed,confirmed,varies-by-package,varies-by-package,varies-by-package,partial,manual:ds(V103DS0)-intro:zh+en,manual:ds-features:zh+en＋manual:qingke-v3-manual:zh+en（V3系一覧表）。V3A=RV32IMAC
CH32V203,CH32V20x,QingKe V4B,RV32IMAC,,,,,"LQFP32,LQFP48,LQFP64M,QFN20,QFN28,QFN32,QFN48X7,QSOP28,TSSOP20",13,CH32V203DS0.PDF;CH32V205DS0.PDF,https://www.wch.cn/products/CH32V203.html,https://www.wch-ic.com/products/CH32V203.html,#,confirmed,confirmed,varies-by-package,varies-by-package,varies-by-package,varies-by-package,manual:ds(V203DS0)-intro:zh（搭载青稞V4B内核）。例外: CH32V203CCT6はCH32V205DS0掲載の256K品で、V205（青稞V3B）と同一DS・同一比較表にあり内核の個別記述は未確認,manual:qingke-v4-manual:zh+en（V4系一覧表）。V4B=RV32IMAC
CH32V205,CH32V20x,QingKe V3B,RV32ICBM-X,262144,32768,,-40..85C,"LQFP100,LQFP48,LQFP64",3,CH32V205DS0.PDF,https://www.wch.cn/products/CH32V205.html,https://www.wch-ic.com/products/CH32V205.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,partial,manual:ds(V205DS0)-features:zh+1.4.1節,manual:ds-features:zh＋manual:qingke-v3-manual:zh+en（V3系一覧表）。V3B=RV32I[M]C[B]（字母順は資料により異なる）
CH32V208,CH32V20x,QingKe V4C,RV32IMAC,131072,65536,,-40..85C,"LQFP64M,QFN28,QFN48,QFN68",4,CH32V208DS0.PDF,https://www.wch.cn/products/CH32V208.html,https://www.wch-ic.com/products/CH32V208.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,partial,manual:ds(V208DS0)-intro:zh（CH32V208搭载V4C内核）,manual:qingke-v4-manual:zh+en（V4系一覧表）。V4C=RV32IMAC
CH32V303,CH32V307,QingKe V4F,RV32IMACF,491520,,,,"LQFP100,LQFP48,LQFP64M",5,CH32V20x_30xDS0.PDF,https://www.wch.cn/products/CH32V303.html,https://www.wch-ic.com/products/CH32V303.html,#,confirmed,confirmed,confirmed,varies-by-package,varies-by-package,varies-by-package,manual:ds(V20x_30xDS0)-features:zh+en（CH32V30x和CH32V31x系列基于青稞V4F）,manual:qingke-v4-manual:zh+en（V4系一覧表）。V4F=RV32IMACF
CH32V305,CH32V307,QingKe V4F,RV32IMACF,,,,-40..85C,"LQFP48,LQFP64M,QFN28,TSSOP20",4,CH32V20x_30xDS0.PDF,https://www.wch.cn/products/CH32V305.html,https://www.wch-ic.com/products/CH32V305.html,#,confirmed,confirmed,varies-by-package,varies-by-package,varies-by-package,partial,manual:ds(V20x_30xDS0)-features:zh+en,manual:qingke-v4-manual:zh+en（V4系一覧表）。V4F=RV32IMACF
CH32V307,CH32V307,QingKe V4F,RV32IMACF,491520,65536,,-40..85C,"LQFP100,LQFP64M,QFN68",3,CH32V20x_30xDS0.PDF,https://www.wch.cn/products/CH32V307.html,https://www.wch-ic.com/products/CH32V307.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,partial,manual:ds(V20x_30xDS0)-features:zh+en,manual:qingke-v4-manual:zh+en（V4系一覧表）。V4F=RV32IMACF
CH32V317,CH32V307,QingKe V4F,RV32IMACF,491520,65536,,-40..85C,"LQFP100,QFN68",2,CH32V20x_30xDS0.PDF,https://www.wch.cn/products/CH32V317.html,https://www.wch-ic.com/products/CH32V317.html,#,confirmed,confirmed,partial,partial,varies-by-package,partial,manual:ds(V20x_30xDS0)-features:zh+en（V31xを明示的に含む）,manual:qingke-v4-manual:zh+en（V4系一覧表）。V4F=RV32IMACF
CH32V407,CH32V407,QingKe V3V,RV32IMABCV-X,524288,204800,,-40..85C,"LQFP100,LQFP64,QFN68",3,CH32V407DS0.PDF,https://www.wch.cn/products/CH32V407.html,https://www.wch-ic.com/products/CH32V407.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,partial,manual:ds(V407DS0)-features:zh+en,manual:ds-architecture:zh＋manual:qingke-v3-manual:zh+en（V3系一覧表）。V3V=RV32IMACB+Zve64x
CH32V467,CH32V407,QingKe V3V,RV32IMABCV-X,524288,204800,,-40..85C,"LQFP100,LQFP64,QFN68",3,CH32V407DS0.PDF,https://www.wch.cn/products/CH32V467.html,https://www.wch-ic.com/products/CH32V467.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,partial,manual:ds(V407DS0)-features:zh+en（V467はV407と同一DS）,manual:ds-architecture:zh＋manual:qingke-v3-manual:zh+en（V3系一覧表）。V3V=RV32IMACB+Zve64x
CH32X033,CH32X035,QingKe V4C,RV32IMAC,63488,20480,18,-40..85C,TSSOP20,1,CH32X035DS0.PDF,https://www.wch.cn/products/CH32X033.html,https://www.wch-ic.com/products/CH32X033.html,#,confirmed,confirmed,confirmed,confirmed,confirmed,partial,manual:ds(X035DS0)-features:zh+en（X033はX035と同一DS）,manual:ds-features:zh+en＋manual:qingke-v4-manual:zh+en（V4系一覧表）。V4C=RV32IMAC
CH32X035,CH32X035,QingKe V4C,RV32IMAC,63488,20480,,-40..85C,"LQFP48,LQFP64M,QFN12,QFN20,QFN28,QSOP28,TSSOP20",7,CH32X035DS0.PDF,https://www.wch.cn/products/CH32X035.html,https://www.wch-ic.com/products/CH32X035.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,partial,manual:ds(X035DS0)-features:zh+en,manual:ds-features:zh+en＋manual:qingke-v4-manual:zh+en（V4系一覧表）。V4C=RV32IMAC
CH32X305,CH32X315,QingKe V3F,RV32IMAFBC-X,491520,65536,55,-40..85C,LQFP64,1,CH32X315DS0.PDF,https://www.wch.cn/products/CH32X305.html,https://www.wch-ic.com/products/CH32X305.html,#,confirmed,confirmed,confirmed,confirmed,confirmed,partial,manual:ds(X315DS0)-features:zh+en（X305はX315と同一DS）,manual:ds-architecture:zh＋manual:qingke-v3-manual:zh+en（V3系一覧表）。V3F=RV32IMAFCB
CH32X315,CH32X315,QingKe V3F,RV32IMAFBC-X,491520,65536,,-40..85C,"QFN48,QFN68X7,QFN76",3,CH32X315DS0.PDF,https://www.wch.cn/products/CH32X315.html,https://www.wch-ic.com/products/CH32X315.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,partial,manual:ds(X315DS0)-features:zh+en,manual:ds-architecture:zh＋manual:qingke-v3-manual:zh+en（V3系一覧表）。V3F=RV32IMAFCB
