family,type,register,offset,width_bits,count,field,define,kind,of_field,bits,mask,value,description,access,reset,#,confidence,basis
CH32H417,ADC,CTLR1,0x004,32,1,AWDSGL,ADC_AWDSGL,field,,9,0x200,,Enable the watchdog on a single channel in scan mode,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,JAUTO,ADC_JAUTO,field,,10,0x400,,Automatic injected group conversion,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,DISCEN,ADC_DISCEN,field,,11,0x800,,Discontinuous mode on regular channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,JDISCEN,ADC_JDISCEN,field,,12,0x1000,,Discontinuous mode on injected channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,DISCNUM_0,ADC_DISCNUM_0,value,DISCNUM,13,0x2000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,DISCNUM_1,ADC_DISCNUM_1,value,DISCNUM,14,0x4000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,DISCNUM_2,ADC_DISCNUM_2,value,DISCNUM,15,0x8000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,DISCNUM,ADC_DISCNUM,field,,15:13,0xe000,,DISCNUM[2:0] bits (Discontinuous mode channel count),RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,DUALMOD_0,ADC_DUALMOD_0,value,DUALMOD,16,0x10000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,DUALMOD_1,ADC_DUALMOD_1,value,DUALMOD,17,0x20000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,DUALMOD_2,ADC_DUALMOD_2,value,DUALMOD,18,0x40000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,DUALMOD_3,ADC_DUALMOD_3,value,DUALMOD,19,0x80000,8,Bit 3,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,DUALMOD,ADC_DUALMOD,field,,19:16,0xf0000,,DUALMOD[3:0] bits (Dual mode selection),RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,JAWDEN,ADC_JAWDEN,field,,22,0x400000,,Analog watchdog enable on injected channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,AWDEN,ADC_AWDEN,field,,23,0x800000,,Analog watchdog enable on regular channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,TKENABLE,ADC_TKENABLE,field,,24,0x1000000,,TKEY enable,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,TKITUNE,ADC_TKITUNE,field,,25,0x2000000,,,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,BUFEN,ADC_BUFEN,field,,26,0x4000000,,,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,PGA_0,ADC_PGA_0,value,PGA,27,0x8000000,1,,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,PGA_1,ADC_PGA_1,value,PGA,28,0x10000000,2,,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,PGA,ADC_PGA,field,,28:27,0x18000000,,,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,ANA_RST,ADC_ANA_RST,field,,30,0x40000000,,,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,SW_PRE,ADC_SW_PRE,field,,31,0x80000000,,,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,ADON,ADC_ADON,field,,0,0x1,,A/D Converter ON / OFF,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,CONT,ADC_CONT,field,,1,0x2,,Continuous Conversion,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,CAL,ADC_CAL,field,,2,0x4,,A/D Calibration,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,RSTCAL,ADC_RSTCAL,field,,3,0x8,,Reset Calibration,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,DMA,ADC_DMA,field,,8,0x100,,Direct Memory access mode,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,ALIGN,ADC_ALIGN,field,,11,0x800,,Data Alignment,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,JEXTSEL_0,ADC_JEXTSEL_0,value,JEXTSEL,12,0x1000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR2,0x008,32,1,JEXTSEL_1,ADC_JEXTSEL_1,value,JEXTSEL,13,0x2000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR2,0x008,32,1,JEXTSEL_2,ADC_JEXTSEL_2,value,JEXTSEL,14,0x4000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR2,0x008,32,1,JEXTSEL,ADC_JEXTSEL,field,,14:12,0x7000,,JEXTSEL[2:0] bits (External event select for injected group),RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,JEXTTRIG,ADC_JEXTTRIG,field,,15,0x8000,,External Trigger Conversion mode for injected channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,EXTSEL_0,ADC_EXTSEL_0,value,EXTSEL,17,0x20000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR2,0x008,32,1,EXTSEL_1,ADC_EXTSEL_1,value,EXTSEL,18,0x40000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR2,0x008,32,1,EXTSEL_2,ADC_EXTSEL_2,value,EXTSEL,19,0x80000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR2,0x008,32,1,EXTSEL,ADC_EXTSEL,field,,19:17,0xe0000,,EXTSEL[2:0] bits (External Event Select for regular group),RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,EXTTRIG,ADC_EXTTRIG,field,,20,0x100000,,External Trigger Conversion mode for regular channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,JSWSTART,ADC_JSWSTART,field,,21,0x200000,,Start Conversion of injected channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,SWSTART,ADC_SWSTART,field,,22,0x400000,,Start Conversion of regular channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,TSVREFE,ADC_TSVREFE,field,,23,0x800000,,Temperature Sensor and VREFINT Enable,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP10_0,ADC_SMP10_0,value,SMP10,0,0x1,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP10_1,ADC_SMP10_1,value,SMP10,1,0x2,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP10_2,ADC_SMP10_2,value,SMP10,2,0x4,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP10,ADC_SMP10,field,,2:0,0x7,,SMP10[2:0] bits (Channel 10 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP11_0,ADC_SMP11_0,value,SMP11,3,0x8,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP11_1,ADC_SMP11_1,value,SMP11,4,0x10,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP11_2,ADC_SMP11_2,value,SMP11,5,0x20,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP11,ADC_SMP11,field,,5:3,0x38,,SMP11[2:0] bits (Channel 11 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP12_0,ADC_SMP12_0,value,SMP12,6,0x40,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP12_1,ADC_SMP12_1,value,SMP12,7,0x80,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP12_2,ADC_SMP12_2,value,SMP12,8,0x100,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP12,ADC_SMP12,field,,8:6,0x1c0,,SMP12[2:0] bits (Channel 12 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP13_0,ADC_SMP13_0,value,SMP13,9,0x200,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP13_1,ADC_SMP13_1,value,SMP13,10,0x400,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP13_2,ADC_SMP13_2,value,SMP13,11,0x800,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP13,ADC_SMP13,field,,11:9,0xe00,,SMP13[2:0] bits (Channel 13 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP14_0,ADC_SMP14_0,value,SMP14,12,0x1000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP14_1,ADC_SMP14_1,value,SMP14,13,0x2000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP14_2,ADC_SMP14_2,value,SMP14,14,0x4000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP14,ADC_SMP14,field,,14:12,0x7000,,SMP14[2:0] bits (Channel 14 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP15_0,ADC_SMP15_0,value,SMP15,15,0x8000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP15_1,ADC_SMP15_1,value,SMP15,16,0x10000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP15_2,ADC_SMP15_2,value,SMP15,17,0x20000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP15,ADC_SMP15,field,,17:15,0x38000,,SMP15[2:0] bits (Channel 15 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP16_0,ADC_SMP16_0,value,SMP16,18,0x40000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP16_1,ADC_SMP16_1,value,SMP16,19,0x80000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP16_2,ADC_SMP16_2,value,SMP16,20,0x100000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP16,ADC_SMP16,field,,20:18,0x1c0000,,SMP16[2:0] bits (Channel 16 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP17_0,ADC_SMP17_0,value,SMP17,21,0x200000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP17_1,ADC_SMP17_1,value,SMP17,22,0x400000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP17_2,ADC_SMP17_2,value,SMP17,23,0x800000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR1,0x00c,32,1,SMP17,ADC_SMP17,field,,23:21,0xe00000,,SMP17[2:0] bits (Channel 17 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP0_0,ADC_SMP0_0,value,SMP0,0,0x1,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP0_1,ADC_SMP0_1,value,SMP0,1,0x2,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP0_2,ADC_SMP0_2,value,SMP0,2,0x4,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP0,ADC_SMP0,field,,2:0,0x7,,SMP0[2:0] bits (Channel 0 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP1_0,ADC_SMP1_0,value,SMP1,3,0x8,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP1_1,ADC_SMP1_1,value,SMP1,4,0x10,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP1_2,ADC_SMP1_2,value,SMP1,5,0x20,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP1,ADC_SMP1,field,,5:3,0x38,,SMP1[2:0] bits (Channel 1 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP2_0,ADC_SMP2_0,value,SMP2,6,0x40,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP2_1,ADC_SMP2_1,value,SMP2,7,0x80,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP2_2,ADC_SMP2_2,value,SMP2,8,0x100,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP2,ADC_SMP2,field,,8:6,0x1c0,,SMP2[2:0] bits (Channel 2 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP3_0,ADC_SMP3_0,value,SMP3,9,0x200,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP3_1,ADC_SMP3_1,value,SMP3,10,0x400,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP3_2,ADC_SMP3_2,value,SMP3,11,0x800,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP3,ADC_SMP3,field,,11:9,0xe00,,SMP3[2:0] bits (Channel 3 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP4_0,ADC_SMP4_0,value,SMP4,12,0x1000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP4_1,ADC_SMP4_1,value,SMP4,13,0x2000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP4_2,ADC_SMP4_2,value,SMP4,14,0x4000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP4,ADC_SMP4,field,,14:12,0x7000,,SMP4[2:0] bits (Channel 4 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP5_0,ADC_SMP5_0,value,SMP5,15,0x8000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP5_1,ADC_SMP5_1,value,SMP5,16,0x10000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP5_2,ADC_SMP5_2,value,SMP5,17,0x20000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP5,ADC_SMP5,field,,17:15,0x38000,,SMP5[2:0] bits (Channel 5 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP6_0,ADC_SMP6_0,value,SMP6,18,0x40000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP6_1,ADC_SMP6_1,value,SMP6,19,0x80000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP6_2,ADC_SMP6_2,value,SMP6,20,0x100000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP6,ADC_SMP6,field,,20:18,0x1c0000,,SMP6[2:0] bits (Channel 6 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP7_0,ADC_SMP7_0,value,SMP7,21,0x200000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP7_1,ADC_SMP7_1,value,SMP7,22,0x400000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP7_2,ADC_SMP7_2,value,SMP7,23,0x800000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP7,ADC_SMP7,field,,23:21,0xe00000,,SMP7[2:0] bits (Channel 7 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP8_0,ADC_SMP8_0,value,SMP8,24,0x1000000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP8_1,ADC_SMP8_1,value,SMP8,25,0x2000000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP8_2,ADC_SMP8_2,value,SMP8,26,0x4000000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP8,ADC_SMP8,field,,26:24,0x7000000,,SMP8[2:0] bits (Channel 8 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP9_0,ADC_SMP9_0,value,SMP9,27,0x8000000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP9_1,ADC_SMP9_1,value,SMP9,28,0x10000000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP9_2,ADC_SMP9_2,value,SMP9,29,0x20000000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,SAMPTR2,0x010,32,1,SMP9,ADC_SMP9,field,,29:27,0x38000000,,SMP9[2:0] bits (Channel 9 Sample time selection),,,#,reference,evt(ch32h417.h)
CH32H417,ADC,IOFR1,0x014,32,1,JOFFSET1,ADC_JOFFSET1,field,,11:0,0xfff,,Data offset for injected channel 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,IOFR2,0x018,32,1,JOFFSET2,ADC_JOFFSET2,field,,11:0,0xfff,,Data offset for injected channel 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,IOFR3,0x01c,32,1,JOFFSET3,ADC_JOFFSET3,field,,11:0,0xfff,,Data offset for injected channel 3,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,IOFR4,0x020,32,1,JOFFSET4,ADC_JOFFSET4,field,,11:0,0xfff,,Data offset for injected channel 4,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,WDHTR,0x024,32,1,HT,ADC_HT,field,,11:0,0xfff,,Analog watchdog high threshold,RW,4095,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,WDLTR,0x028,32,1,LT,ADC_LT,field,,11:0,0xfff,,Analog watchdog low threshold,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ13_0,ADC_SQ13_0,value,SQ13,0,0x1,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ13_1,ADC_SQ13_1,value,SQ13,1,0x2,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ13_2,ADC_SQ13_2,value,SQ13,2,0x4,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ13_3,ADC_SQ13_3,value,SQ13,3,0x8,8,Bit 3,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ13_4,ADC_SQ13_4,value,SQ13,4,0x10,16,Bit 4,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ13,ADC_SQ13,field,,4:0,0x1f,,SQ13[4:0] bits (13th conversion in regular sequence),RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ14_0,ADC_SQ14_0,value,SQ14,5,0x20,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ14_1,ADC_SQ14_1,value,SQ14,6,0x40,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ14_2,ADC_SQ14_2,value,SQ14,7,0x80,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ14_3,ADC_SQ14_3,value,SQ14,8,0x100,8,Bit 3,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ14_4,ADC_SQ14_4,value,SQ14,9,0x200,16,Bit 4,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ14,ADC_SQ14,field,,9:5,0x3e0,,SQ14[4:0] bits (14th conversion in regular sequence),RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ15_0,ADC_SQ15_0,value,SQ15,10,0x400,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ15_1,ADC_SQ15_1,value,SQ15,11,0x800,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,RSQR1,0x02c,32,1,SQ15_2,ADC_SQ15_2,value,SQ15,12,0x1000,4,Bit 2,,,#,reference,evt(ch32h417.h)
