part_number,series,family,capability,qualifier,stated,count,value,attribute,#,confidence,basis
CH32H415REU6,CH32H415,CH32H417,timer-basic,16bit,count,2,2,timer_basic_16_bit,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,timer-general,16bit,count,4,4,timer_gptm_16_bit,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,timer-general,32bit,count,4,4,timer_gptm_32_bit,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,timer-lptim,,count,2,2,timer_lptim,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,usart,,count,8,8,usart,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,usb-fs,otg,count,1,1,pdusb_usbfs_otg_fs,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,usb-hs,,count,1,1,pdusb_usbhs_usb_2_0,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,usb-pd,,count,1,1,pdusb_usbpd_type_c,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,watchdog,,text,,WWDG+IWDG,timer_watchdog,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,adc,with-tkey,count,2,2,adc_tkey_units,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,adc-channel,with-tkey,text,,16+2,adc_tkey_channels,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,can,,count,3,3,can,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,cmp,,count,1,1,cmp,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,dac,,count,2,2,dac_unit,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,dfsdm,,count,1,1,dfsdm,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,dvp,,count,1,1,dvp,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,gpha,,count,1,1,gpha,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,hsadc,,count,1,1,hsadc_units,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,hsadc-channel,,count,7,7,hsadc_channels,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,i2c,,count,4,4,i2c,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,i3c,,count,1,1,i3c,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,ltdc,,count,1,1,ltdc,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,opa,,count,3,3,opa,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,pioc,,count,1,1,pioc,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,qspi,,text,,1 (QSPI2),qspi,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,rng,,count,1,1,rng,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,rtc,,marker,,√,rtc,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,sai,,count,1,1,sai,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,sdmmc,,count,1,1,sdmmc,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,spi-i2s,,text,,3/2,spi_i2s,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,sram,core1-hs-dtcm,text,,256K,sram_core_1_hs_dtcm,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,sram,core1-hs-itcm,text,,128K,sram_core_1_hs_itcm,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,sram,shared,text,,512K,sram_shared_code_and_data_area,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,swpmi,,count,1,1,swpmi,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,systick,32bit,count,2,2,timer_systick_32_bit,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,timer-advanced,16bit,count,2,2,timer_adtm_16_bit,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,timer-basic,16bit,count,2,2,timer_basic_16_bit,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,timer-general,16bit,count,4,4,timer_gptm_16_bit,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,timer-general,32bit,count,4,4,timer_gptm_32_bit,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,timer-lptim,,count,2,2,timer_lptim,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,usart,,count,7,7,usart,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,usb-fs,otg,count,1,1,pdusb_usbfs_otg_fs,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,usb-hs,,count,1,1,pdusb_usbhs_usb_2_0,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,usb-pd,,text,,1 Built-in Rd(4),pdusb_usbpd_type_c,#,conflict,products:en+!products:zh(=1 built-in Rd(4))
CH32H416RDU6,CH32H416,CH32H417,usb-ss,,count,1,1,pdusb_usbss_usb_3_0,#,confirmed,products:zh+products:en
CH32H416RDU6,CH32H416,CH32H417,watchdog,,text,,WWDG+IWDG,timer_watchdog,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,adc,with-tkey,count,2,2,adc_tkey_units,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,adc-channel,with-tkey,text,,9+2,adc_tkey_channels,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,can,,count,3,3,can,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,cmp,,count,1,1,cmp,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,dac,,count,2,2,dac_unit,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,dfsdm,,count,1,1,dfsdm,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,dvp,,count,1,1,dvp,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,ethernet,,text,,MAC+10/100M PHY,ethernet,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,fsmc,,text,,1(2),fmc_fsmc,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,gpha,,count,1,1,gpha,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,hsadc,,count,1,1,hsadc_units,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,hsadc-channel,,count,4,4,hsadc_channels,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,i2c,,count,4,4,i2c,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,i3c,,count,1,1,i3c,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,ltdc,,count,1,1,ltdc,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,opa,,text,,2 (OPA1/3),opa,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,pioc,,count,1,1,pioc,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,qspi,,text,,1 (QSPI2),qspi,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,rng,,count,1,1,rng,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,rtc,,marker,,√,rtc,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,sai,,count,1,1,sai,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,sdmmc,,count,1,1,sdmmc,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,sdram,,count,1,1,fmc_sdram,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,serdes,,count,1,1,serdes,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,spi-i2s,,text,,4/2,spi_i2s,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,sram,core1-hs-dtcm,text,,256KB,sram_core_1_hs_dtcm,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,sram,core1-hs-itcm,text,,128KB,sram_core_1_hs_itcm,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,sram,shared,text,,512KB,sram_shared_code_and_data_area,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,swpmi,,count,1,1,swpmi,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,systick,32bit,count,2,2,timer_systick_32_bit,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,timer-advanced,16bit,count,2,2,timer_adtm_16_bit,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,timer-basic,16bit,count,2,2,timer_basic_16_bit,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,timer-general,16bit,count,4,4,timer_gptm_16_bit,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,timer-general,32bit,count,4,4,timer_gptm_32_bit,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,timer-lptim,,count,2,2,timer_lptim,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,uhsif,,count,1,1,uhsif,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,usart,,count,8,8,usart,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,usb-fs,otg,count,1,1,pdusb_usbfs_otg_fs,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,usb-hs,,count,1,1,pdusb_usbhs_usb_2_0,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,usb-pd,,count,1,1,pdusb_usbpd_type_c,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,usb-ss,,count,1,1,pdusb_usbss_usb_3_0,#,confirmed,products:zh+products:en
CH32H417MEU6,CH32H417,CH32H417,watchdog,,text,,WWDG+IWDG,timer_watchdog,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,adc,with-tkey,count,2,2,adc_tkey_units,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,adc-channel,with-tkey,text,,16+2,adc_tkey_channels,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,can,,count,3,3,can,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,cmp,,count,1,1,cmp,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,dac,,count,2,2,dac_unit,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,dfsdm,,count,1,1,dfsdm,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,dvp,,count,1,1,dvp,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,ethernet,,text,,MAC+10/100M PHY,ethernet,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,fsmc,,count,1,1,fmc_fsmc,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,gpha,,count,1,1,gpha,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,hsadc,,count,1,1,hsadc_units,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,hsadc-channel,,count,7,7,hsadc_channels,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,i2c,,count,4,4,i2c,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,i3c,,count,1,1,i3c,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,ltdc,,count,1,1,ltdc,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,opa,,count,3,3,opa,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,pioc,,count,1,1,pioc,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,qspi,,count,2,2,qspi,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,rng,,count,1,1,rng,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,rtc,,marker,,√,rtc,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,sai,,count,1,1,sai,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,sdio,,count,1,1,sdio,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,sdmmc,,count,1,1,sdmmc,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,sdram,,count,1,1,fmc_sdram,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,serdes,,count,1,1,serdes,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,spi-i2s,,text,,4/2,spi_i2s,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,sram,core1-hs-dtcm,text,,256KB,sram_core_1_hs_dtcm,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,sram,core1-hs-itcm,text,,128KB,sram_core_1_hs_itcm,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,sram,shared,text,,512KB,sram_shared_code_and_data_area,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,swpmi,,count,1,1,swpmi,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,systick,32bit,count,2,2,timer_systick_32_bit,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,timer-advanced,16bit,count,2,2,timer_adtm_16_bit,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,timer-basic,16bit,count,2,2,timer_basic_16_bit,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,timer-general,16bit,count,4,4,timer_gptm_16_bit,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,timer-general,32bit,count,4,4,timer_gptm_32_bit,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,timer-lptim,,count,2,2,timer_lptim,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,uhsif,,count,1,1,uhsif,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,usart,,count,8,8,usart,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,usb-fs,otg,count,1,1,pdusb_usbfs_otg_fs,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,usb-hs,,count,1,1,pdusb_usbhs_usb_2_0,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,usb-pd,,count,1,1,pdusb_usbpd_type_c,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,usb-ss,,count,1,1,pdusb_usbss_usb_3_0,#,confirmed,products:zh+products:en
CH32H417QEU6,CH32H417,CH32H417,watchdog,,text,,WWDG+IWDG,timer_watchdog,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,adc,with-tkey,count,2,2,adc_tkey_units,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,adc-channel,with-tkey,text,,7+2,adc_tkey_channels,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,can,,count,3,3,can,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,cmp,,count,1,1,cmp,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,dac,,text,,1 (DAC2),dac_unit,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,dfsdm,,count,1,1,dfsdm,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,dvp,,count,1,1,dvp,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,ethernet,,text,,MAC+10/100M PHY,ethernet,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,fsmc,,text,,1(2),fmc_fsmc,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,gpha,,count,1,1,gpha,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,hsadc,,count,1,1,hsadc_units,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,hsadc-channel,,count,4,4,hsadc_channels,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,i2c,,count,4,4,i2c,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,i3c,,count,1,1,i3c,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,ltdc,,count,1,1,ltdc,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,opa,,text,,2 (OPA1/3),opa,#,conflict,products:en+!products:zh(=1（OPA1）)
CH32H417WEU6,CH32H417,CH32H417,pioc,,count,1,1,pioc,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,qspi,,text,,1 (QSPI2),qspi,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,rng,,count,1,1,rng,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,rtc,,marker,,√,rtc,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,sai,,count,1,1,sai,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,sdmmc,,count,1,1,sdmmc,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,sdram,,text,,1(3),fmc_sdram,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,spi-i2s,,text,,3/2,spi_i2s,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,sram,core1-hs-dtcm,text,,256KB,sram_core_1_hs_dtcm,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,sram,core1-hs-itcm,text,,128KB,sram_core_1_hs_itcm,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,sram,shared,text,,512KB,sram_shared_code_and_data_area,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,swpmi,,count,1,1,swpmi,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,systick,32bit,count,2,2,timer_systick_32_bit,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,timer-advanced,16bit,count,2,2,timer_adtm_16_bit,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,timer-basic,16bit,count,2,2,timer_basic_16_bit,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,timer-general,16bit,count,4,4,timer_gptm_16_bit,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,timer-general,32bit,count,4,4,timer_gptm_32_bit,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,timer-lptim,,count,2,2,timer_lptim,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,uhsif,,text,,1(1),uhsif,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,usart,,count,7,7,usart,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,usb-hs,,count,1,1,pdusb_usbhs_usb_2_0,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,usb-ss,,count,1,1,pdusb_usbss_usb_3_0,#,confirmed,products:zh+products:en
CH32H417WEU6,CH32H417,CH32H417,watchdog,,text,,WWDG+IWDG,timer_watchdog,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,adc-channel,,text,,10+3,adc,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,can,,count,1,1,communication_interface_can,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,can-fd,,marker,,√,communication_interface_can_fd,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,clock,,text,,Max: 96MHz,cpu_main_frequency,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,cmp,,count,3,3,cmp,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,i2c,,count,2,2,communication_interface_i2c,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,opa,,count,1,1,opa,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,rtc,,marker,,√,rtc,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,spi,,count,2,2,communication_interface_spi,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,systick,64bit,marker,,√,timer_systick_64_bit,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,timer-advanced,tim1-16bit,count,1,1,timer_advanced_control_tim1_16_bit,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,timer-general,tim2-3-16bit,count,2,2,timer_general_purpose_tim2_3_16_bit,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,timer-general,tim4-32bit,count,1,1,timer_general_purpose_tim4_32_bit,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,timer-lptim,,marker,,√,timer_low_power_timer_lptim,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,tkey-channel,,count,10,10,tkey,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,usart,,count,4,4,communication_interface_usart,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,usb,host-device,text,,Host Device,communication_interface_pdusb_usb_host_device,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,usb-pd,,text,,DRP Source Sink,communication_interface_pdusb_usb_pd_type_c,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,voltage,,text,,3.3V,rated_voltage,#,confirmed,products:zh+products:en
CH32L103C8T6,CH32L103,CH32L103,watchdog,,text,,2 ( WWDG + IWDG ),timer_watchdog,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,adc-channel,,text,,9+3,adc,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,can,,count,1,1,communication_interface_can,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,clock,,text,,Max: 96MHz,cpu_main_frequency,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,cmp,,text,,CMP1 CMP2,cmp,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,i2c,,text,,I2C1,communication_interface_i2c,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,opa,,count,1,1,opa,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,rtc,,marker,,√,rtc,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,spi,,text,,SPI1,communication_interface_spi,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,systick,64bit,marker,,√,timer_systick_64_bit,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,timer-advanced,tim1-16bit,count,1,1,timer_advanced_control_tim1_16_bit,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,timer-general,tim2-3-16bit,count,2,2,timer_general_purpose_tim2_3_16_bit,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,timer-general,tim4-32bit,count,1,1,timer_general_purpose_tim4_32_bit,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,timer-lptim,,marker,,√,timer_low_power_timer_lptim,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,tkey-channel,,count,9,9,tkey,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,usart,,count,4,4,communication_interface_usart,#,confirmed,products:zh+products:en
CH32L103F8P6,CH32L103,CH32L103,usb,host-device,text,,Device,communication_interface_pdusb_usb_host_device,#,confirmed,products:zh+products:en
