part_number,series,family,package,pins,flash_bytes,sram_bytes,gpio_count,clock_max,vdd_min,vdd_max,temperature,usart,spi,i2c,can,usb,adc,dac,opa,cmp,timers_advanced,timers_general,rtc,ethernet,#,confidence
CH32M007E8R6,CH32M007,CH32V006,QSOP24,24,63488,8192,15,48 MHz,2.0,5.5,-40..85C,2,1,1,,,7+2,,1,2,1,1,,,#,confirmed
CH32M007E8U7,CH32M007,CH32V006,QFN26C3,26,63488,8192,16,48 MHz,2.0,5.5,-40..105C,2,1,1,,,7+2,,1,2,1,1,,,#,confirmed
CH32M007G8R6,CH32M007,CH32V006,QSOP28,28,63488,8192,12,48 MHz,2.0,5.5,-40..85C,2,1,1,,,7+2,,1,2,1,1,,,#,confirmed
CH32M007K8U7,CH32M007,CH32V006,QFN32,32,63488,8192,17,48 MHz,2.0,5.5,-40..105C,2,1,1,,,7+2,,1,2,1,1,,,#,confirmed
CH32M030C8T7,CH32M030,CH32M030,LQFP48,48,65536,12288,35,72 MHz,,,-40..105C,1,1,1,,,20,,1,1,1,1,,,#,reference
CH32M030C8U3,CH32M030,CH32M030,QFN48X7_A,48,65536,12288,36,72 MHz,,,,1,1,1,,,20,,1,1,1,1,,,#,confirmed
CH32M030C8U7,CH32M030,CH32M030,QFN48,48,65536,12288,36,72 MHz,,,-40..105C,1,1,1,,,20,,1,1,1,1,,,#,reference
CH32M030G8R7,CH32M030,CH32M030,QSOP28,28,65536,12288,17,72 MHz,,,-40..105C,1,,1,,,11,,1,1,1,1,,,#,reference
CH32M030K8U7,CH32M030,CH32M030,QFN32,32,65536,12288,24,72 MHz,,,-40..105C,1,1,1,,,16,,1,1,1,1,,,#,reference
CH32M103G8R6,CH32M103,CH32L103,QSOP28,28,65536,20480,18,96 MHz,1.8,3.6,-40..85C,4,SPI1,2,1,Host Device,10+3,,1,3,1,2;1,√,,#,confirmed
CH32V002A4M6,CH32V002,CH32V006,SOP16,16,16384,4096,14,48 MHz,2.0,5.5,-40..85C,1,1,1,,,6+2,,,,1,1,,,#,reference
CH32V002D4U6,CH32V002,CH32V006,QFN12,12,16384,4096,11,48 MHz,2.0,5.5,-40..85C,1,,1,,,4+2,,,,1,1,,,#,reference
CH32V002F4P6,CH32V002,CH32V006,TSSOP20,20,16384,4096,18,48 MHz,2.0,5.5,-40..85C,1,1,1,,,8+2,,,,1,1,,,#,reference
CH32V002F4U6,CH32V002,CH32V006,QFN20,20,16384,4096,18,48 MHz,2.0,5.5,-40..85C,1,1,1,,,8+2,,,,1,1,,,#,reference
CH32V002J4M6,CH32V002,CH32V006,SOP8,8,16384,4096,6,48 MHz,2.0,5.5,-40..85C,1,,1,,,6+2,,,,1,1,,,#,reference
CH32V003A4M6,CH32V003,CH32V003,SOP16,16,16384,2048,14,48 MHz,2.7,5.5,-40..85C,1,,1,,,6,,,,1,1,,,#,reference
CH32V003F4P6,CH32V003,CH32V003,TSSOP20,20,16384,2048,18,48 MHz,2.7,5.5,-40..85C,1,1,1,,,8,,,,1,1,,,#,reference
CH32V003F4U6,CH32V003,CH32V003,QFN20,20,16384,2048,18,48 MHz,2.7,5.5,-40..85C,1,1,1,,,8,,,,1,1,,,#,reference
CH32V003J4M6,CH32V003,CH32V003,SOP8,8,16384,2048,6,48 MHz,2.7,5.5,-40..85C,1,,1,,,6,,,,1,1,,,#,reference
CH32V004F6P1,CH32V004,CH32V006,TSSOP20,20,32768,6144,18,48 MHz,2.7,5.5,,1,1,1,,,8+2,,,,1,1,,,#,confirmed
CH32V004F6U1,CH32V004,CH32V006,QFN20L,20,32768,6144,18,48 MHz,2.7,5.5,,1,1,1,,,8+2,,,,1,1,,,#,confirmed
CH32V005D6U6,CH32V005,CH32V006,QFN12,12,32768,6144,11,48 MHz,2.0,5.5,-40..85C,2,,1,,,4+2,,1,,1,1,,,#,confirmed
CH32V005E6R6,CH32V005,CH32V006,QSOP24,24,32768,6144,22,48 MHz,2.0,5.5,-40..85C,2,1,1,,,8+2,,1,,1,1,,,#,confirmed
CH32V005F6P6,CH32V005,CH32V006,TSSOP20,20,32768,6144,18,48 MHz,2.0,5.5,-40..85C,2,1,1,,,8+2,,1,,1,1,,,#,confirmed
CH32V005F6U6,CH32V005,CH32V006,QFN20,20,32768,6144,18,48 MHz,2.0,5.5,-40..85C,2,1,1,,,8+2,,1,,1,1,,,#,confirmed
CH32V006D8U7,CH32V006,CH32V006,QFN12,12,63488,8192,11,48 MHz,2.0,5.5,-40..105C,2,,1,,,4+2,,1,,1,1,,,#,confirmed
CH32V006E8R6,CH32V006,CH32V006,QSOP24,24,63488,8192,22,48 MHz,2.0,5.5,-40..85C,2,1,1,,,8+2,,1,,1,1,,,#,confirmed
CH32V006E8R7,CH32V006,CH32V006,QSOP24,24,63488,8192,22,48 MHz,2.0,5.5,-40..105C,2,1,1,,,8+2,,1,,1,1,,,#,confirmed
CH32V006F4U6,CH32V006,CH32V006,QFN20,20,16384,4096,18,48 MHz,2.0,5.5,-40..85C,1,1,1,,,8+2,,,,1,1,,,#,confirmed
CH32V006F8P7,CH32V006,CH32V006,TSSOP20,20,63488,8192,18,48 MHz,2.0,5.5,-40..105C,2,1,1,,,8+2,,1,,1,1,,,#,confirmed
CH32V006F8U7,CH32V006,CH32V006,QFN20,20,63488,8192,18,48 MHz,2.0,5.5,-40..105C,2,1,1,,,8+2,,1,,1,1,,,#,confirmed
CH32V006K8U7,CH32V006,CH32V006,QFN32,32,63488,8192,31,48 MHz,2.0,5.5,-40..105C,2,1,1,,,8+2,,1,,1,1,,,#,confirmed
CH32V007E8R6,CH32V007,CH32V006,QSOP24,24,63488,8192,22,48 MHz,2.0,5.5,-40..85C,2,1,1,,,8+2,,1,2,1,1,,,#,confirmed
CH32V007E8R7,CH32V007,CH32V006,QSOP24,24,63488,8192,22,48 MHz,2.0,5.5,-40..105C,2,1,1,,,8+2,,1,2,1,1,,,#,confirmed
CH32V007K8U6,CH32V007,CH32V006,QFN32,32,63488,8192,31,48 MHz,2.0,5.5,-40..85C,2,1,1,,,8+2,,1,2,1,1,,,#,confirmed
CH32V007K8U7,CH32V007,CH32V006,QFN32,32,63488,8192,31,48 MHz,2.0,5.5,-40..105C,2,1,1,,,8+2,,1,2,1,1,,,#,confirmed
CH32V103C6T6,CH32V103,CH32V103,LQFP48,48,32768,10240,37,80 MHz,2.7,5.5,-40..85C,2,1,1,,1,10,,,,1,2,,,#,confirmed
CH32V103C8T6,CH32V103,CH32V103,LQFP48,48,65536,20480,37,80 MHz,2.7,5.5,-40..85C,3,2,2,,1,10,,,,1,3,,,#,confirmed
CH32V103C8U6,CH32V103,CH32V103,QFN48X7,48,65536,20480,37,80 MHz,2.7,5.5,-40..85C,3,2,2,,1,10,,,,1,3,,,#,confirmed
CH32V103R8T6,CH32V103,CH32V103,LQFP64M,64,65536,20480,51,80 MHz,2.7,5.5,-40..85C,3,2,2,,1,16,,,,1,3,,,#,confirmed
CH32V203C6T6,CH32V203,CH32V20x,LQFP48,48,32768,10240,37,144/192 MHz,1.8,3.6,-40..85C,2,1,1,1,1,10@2,,2,,1,3,Supported,,#,confirmed
CH32V203C6U6,CH32V203,CH32V20x,QFN48X7,48,32768,10240,37,144/192 MHz,1.8,3.6,-40..85C,2,1,1,1,1,10@2,,2,,1,3,Supported,,#,confirmed
CH32V203C8T6,CH32V203,CH32V20x,LQFP48,48,65536,20480,37,144/192 MHz,1.8,3.6,-40..85C,4,2,2,1,1,10@2,,2,,1,3,Supported,,#,confirmed
CH32V203C8U6,CH32V203,CH32V20x,QFN48X7,48,65536,20480,37,144/192 MHz,1.8,3.6,-40..85C,4,2,2,1,1,10@2,,2,,1,3,Supported,,#,confirmed
CH32V203CCT6,CH32V203,CH32V205,LQFP48,48,262144,32768,37,144/192 MHz,1.8,3.6,-40..85C,8,2,2,1,1,10+3,,2,2,1,2;1,√,,#,confirmed
CH32V203F6P6,CH32V203,CH32V20x,TSSOP20,20,32768,10240,16,144/192 MHz,1.8,3.6,-40..85C,1,1,,1,1,9@2,,1,,1(3),3(3),Supported,,#,confirmed
CH32V203F8P6,CH32V203,CH32V20x,TSSOP20,20,65536,20480,17,144/192 MHz,1.8,3.6,-40..85C,2,1,1,,1,9@2,,2,,1(3),3(3),Supported,,#,confirmed
CH32V203F8U6,CH32V203,CH32V20x,QFN20,20,65536,20480,17,144/192 MHz,1.8,3.6,-40..85C,2,1,1,,1,9@2,,2,,1(3),3(3),Supported,,#,confirmed
CH32V203G6U6,CH32V203,CH32V20x,QFN28,28,32768,10240,24,144/192 MHz,1.8,3.6,-40..85C,2,1,1,1,1,10@2,,2,,1(3),3,Supported,,#,confirmed
CH32V203G8R6,CH32V203,CH32V20x,QSOP28,28,65536,20480,24,144/192 MHz,1.8,3.6,-40..85C,2,1,1,1,1,10@2,,2,,1(3),3,Supported,,#,confirmed
CH32V203K8T6,CH32V203,CH32V20x,LQFP32,32,65536,20480,26,144/192 MHz,1.8,3.6,-40..85C,2,1,1,1,1,10@2,,2,,1,3,Supported,,#,confirmed
CH32V203K8U7,CH32V203,CH32V20x,QFN32,32,65536,20480,31,144/192 MHz,1.8,3.6,-40..105C,2,1,1,1,1,10@2,,2,,1,3,Supported,,#,confirmed
CH32V203RBT6,CH32V203,CH32V20x,LQFP64M,64,131072,65536,51,144/192 MHz,1.8,3.6,-40..85C,4,2,2,1,1,16@1,,2,,1,3;1,Supported,10M,#,confirmed
CH32V205CCT6,CH32V205,CH32V205,LQFP48,48,262144,32768,41,192 MHz,1.8,3.6,-40..85C,8,2,2,1,1,16+3,,2,2,1,2;1,√,,#,confirmed
CH32V205RCT6,CH32V205,CH32V205,LQFP64,64,262144,32768,51,192 MHz,1.8,3.6,-40..85C,8,2,2,1,1,16+3,,2,2,1,2;1,√,,#,confirmed
CH32V205VCT6,CH32V205,CH32V205,LQFP100,100,262144,32768,80,192 MHz,1.8,3.6,-40..85C,8,2,2,1,1,16+3,,2,2,1,2;1,√,,#,confirmed
CH32V208CBU6,CH32V208,CH32V20x,QFN48,48,131072,65536,35,144 MHz,2.4,3.6,-40..85C,4,2,2,1,1,10@1,,2,,1,3;1,Supported,,#,confirmed
CH32V208GBU6,CH32V208,CH32V20x,QFN28,28,131072,65536,21,144 MHz,2.4,3.6,-40..85C,2,1,1,1,1,8@1,,OPA2,,1,3;1,Supported,10M,#,confirmed
CH32V208RBT6,CH32V208,CH32V20x,LQFP64M,64,131072,65536,49,144 MHz,2.4,3.6,-40..85C,4,2,2,1,1,16@1,,2,,1,3;1,Supported,10M,#,confirmed
CH32V208WBU6,CH32V208,CH32V20x,QFN68,68,131072,65536,53,144 MHz,2.4,3.6,-40..85C,4,2,2,1,1,16@1,,2,,1,3;1,Supported,10M,#,confirmed
CH32V303CBT6,CH32V303,CH32V307,LQFP48,48,131072,32768,37,144 MHz,2.4,3.6,-40..85C,3,2,2,1,1,10,2,4,,1,3,Supported,,#,confirmed
CH32V303RBT6,CH32V303,CH32V307,LQFP64M,64,131072,32768,51,144 MHz,2.4,3.6,-40..85C,3,2,2,1,1,16,2,4,,1,3,Supported,,#,confirmed
CH32V303RCT6,CH32V303,CH32V307,LQFP64M,64,262144,65536,51,144 MHz,2.4,3.6,-40..85C,8,3,2,1,1,16,2,4,,4,4,Supported,,#,confirmed
CH32V303RCT7,CH32V303,CH32V307,LQFP64M,64,262144,65536,51,144 MHz,2.4,3.6,-40..105C,8,3,2,1,1,16,2,4,,4,4,Supported,,#,reference
CH32V303VCT6,CH32V303,CH32V307,LQFP100,100,262144,65536,80,144 MHz,2.4,3.6,-40..85C,8,3,2,1,1,16,2,4,,4,4,Supported,,#,confirmed
CH32V305CCT6,CH32V305,CH32V307,LQFP48,48,262144,65536,41,144 MHz,2.4,3.6,-40..85C,5,3,2,2,1,16,2,4,,4,4,Supported,,#,confirmed
CH32V305FBP6,CH32V305,CH32V307,TSSOP20,20,131072,32768,17,144 MHz,2.4,3.6,-40..85C,USART1 USART3,SPI2,2,CAN2,1,1,DAC2,,,4,4,Supported,,#,confirmed
CH32V305GBU6,CH32V305,CH32V307,QFN28,28,131072,32768,24,144 MHz,2.4,3.6,-40..85C,USART1 USART3 UART4 UART5 UART7,3,2,CAN2,1,6,2,OPA3,,4,4,Supported,,#,confirmed
CH32V305RBT6,CH32V305,CH32V307,LQFP64M,64,131072,32768,51,144 MHz,2.4,3.6,-40..85C,5,3,2,2,1,16,2,4,,4,4,Supported,,#,confirmed
CH32V307RCT6,CH32V307,CH32V307,LQFP64M,64,262144,65536,51,144 MHz,2.4,3.6,-40..85C,8,3,2,2,1,16,2,4,,4,4,Supported,1G MAC+10M PHY,#,confirmed
CH32V307VCT6,CH32V307,CH32V307,LQFP100,100,262144,65536,80,144 MHz,2.4,3.6,-40..85C,8,3,2,2,1,16,2,4,,4,4,Supported,1G MAC+10M PHY,#,confirmed
CH32V307WCU6,CH32V307,CH32V307,QFN68,68,262144,65536,54,144 MHz,2.4,3.6,-40..85C,8,3,2,2,1,16,2,4,,4,4,Supported,1G MAC+10M PHY,#,confirmed
CH32V317VCT6,CH32V317,CH32V307,LQFP100,100,262144,65536,70,144 MHz,2.4,3.6,-40..85C,8,3,2,2,1,16,2,4,,4,4,Supported,MAC+10M/100M PHY,#,reference
CH32V317WCU6,CH32V317,CH32V307,QFN68,68,262144,65536,48,144 MHz,2.4,3.6,-40..85C,8,3,2,2,1,16,2,4,,4,4,Supported,MAC+10M/100M PHY,#,reference
CH32V407RET6,CH32V407,CH32V407,LQFP64,64,524288,204800,49,200 MHz,2.9,3.6,-40..85C,10,3/2,1,1,1 (USBHS1),16+2,2,1,,2,4,Support,MAC+10M/100M PHY,#,confirmed
CH32V407VET6,CH32V407,CH32V407,LQFP100,100,524288,204800,77,200 MHz,2.9,3.6,-40..85C,10,3/2,1,1,2,16+2,2,1,,2,4,Support,MAC+10M/100M PHY,#,confirmed
CH32V407WEU6,CH32V407,CH32V407,QFN68,68,524288,204800,55,200 MHz,2.9,3.6,-40..85C,10,3/2,1,1,2,16+2,2,1,,2,4,Support,MAC+10M/100M PHY,#,confirmed
CH32V467RET6,CH32V467,CH32V407,LQFP64,64,524288,204800,48,200 MHz,2.9,3.6,-40..85C,10,3/2,1,1,1 (USBHS1),16+2,2,1,,2,4,Support,MAC+10M/100M PHY,#,confirmed
CH32V467VET6,CH32V467,CH32V407,LQFP100,100,524288,204800,76,200 MHz,2.9,3.6,-40..85C,10,3/2,1,1,2,16+2,2,1,,2,4,Support,MAC+10M/100M PHY,#,confirmed
CH32V467WEU6,CH32V467,CH32V407,QFN68,68,524288,204800,54,200 MHz,2.9,3.6,-40..85C,10,3/2,1,1,2,16+2,2,1,,2,4,Support,MAC+10M/100M PHY,#,confirmed
CH32X033F8P6,CH32X033,CH32X035,TSSOP20,20,63488,20480,18,48 MHz,2.0,5.5,-40..85C,4,√,,,√,10+1,,2,2,2,1,,,#,reference
CH32X035C8T6,CH32X035,CH32X035,LQFP48,48,63488,20480,46,48 MHz,2.0,5.5,-40..85C,4,√,,,√,10+1,,2,3,2,1,,,#,reference
CH32X035D8U6,CH32X035,CH32X035,QFN12,12,63488,20480,11,48 MHz,2.0,5.5,-40..85C,3,√,,,√,5+1,,1,,2,1,,,#,reference
CH32X035F7P6,CH32X035,CH32X035,TSSOP20,20,63488,20480,18,48 MHz,2.0,5.5,-40..85C,3,√,,,√,11+1,,1,1,2,1,,,#,reference
CH32X035F8U6,CH32X035,CH32X035,QFN20,20,63488,20480,19,48 MHz,2.0,5.5,-40..85C,3,√,,,√,10+1,,2,,2,1,,,#,reference
CH32X035G8R6,CH32X035,CH32X035,QSOP28,28,63488,20480,26,48 MHz,2.0,5.5,-40..85C,4,√,,,√,11+1,,2,3,2,1,,,#,reference
CH32X035G8U6,CH32X035,CH32X035,QFN28,28,63488,20480,27,48 MHz,2.0,5.5,-40..85C,4,√,,,√,12+1,,2,1,2,1,,,#,reference
CH32X035R8T6,CH32X035,CH32X035,LQFP64M,64,63488,20480,60,48 MHz,2.0,5.5,-40..85C,4,√,,,√,14+1,,2,3,2,1,,,#,reference
CH32X305RCT6,CH32X305,CH32X315,LQFP64,64,196608,65536,55,480 MHz,2.8,3.6,-40..85C,4,3,2,,Host/Device,9+1;10,,,,1,2;1,Support,,#,confirmed
CH32X315CCU6,CH32X315,CH32X315,QFN48,48,196608,65536,40,480 MHz,2.8,3.6,-40..85C,4,3,2,,Host/Device;Device,8+1;6;8,,,,1,2;1,Support,,#,confirmed
CH32X315MCU6,CH32X315,CH32X315,QFN76,76,196608,65536,64,480 MHz,2.8,3.6,-40..85C,4,3,2,,Host/Device;Device,12+1;12,,,,1,2;1,Support,,#,confirmed
CH32X315WCU6,CH32X315,CH32X315,QFN68X7,68,196608,65536,59,480 MHz,2.8,3.6,-40..85C,4,3,2,,Host/Device;Device,12+1;12,,,,1,2;1,Support,,#,confirmed
